"Author","Title","ISBN","Location","Owner"
"","Fun in Girls Shorts","712267500727","Missing",""
"","Another Country","794051202123","Missing",""
"","Brokeback Mountain","1417030321","Missing",""
"","OZ the Complete First Season","","Missing",""
"","OZ the Complete Fourth Season","","Missing",""
"","OZ the Complete Second Season","","Missing",""
"","OZ the Complete Third Season","","Missing",""
"","Red Dirt","0794201199","Missing",""
"","The Wiz","0783233493","Missing",""
"Franklin Abbott (Editor)","Men & Intimacy","0895944073","Missing",""
"Julia Alaric","Dreamer","1620040395","Missing",""
"Dorothy Allison","Bastard Out of Carolina","0525934251","Missing",""
"Phil Andros","The Joy Spot","1563333015","Missing",""
"Anonymous","Dungeon Slaves","","Missing",""
"Pat Arrowsmith","Somewhere Like This","0854491430","Missing",""
"Dawn Atkins (Editor)","Looking Queer","156023931X","Missing",""
"L.A. Banks","Minion","0312987013","Missing",""
"Ellen Bass; Kate Kaufman","Free Your Mind","0060951044","Missing",""
"Jonathan Bass","101 Gay Sex Secrets Revealed","1555838510","Missing",""
"Baxt, George","A Queer Kind of Umbrella","068481496X","Missing",""
"Emma Beare","501 Must-See Movies","0753712067","Missing",""
"Beau","Beau Men","3861876493","Missing",""
"Alison Bechdel","Fun Home","9780618871711","Missing",""
"Rose Beecham","Grave Silence","1933110252","Missing",""
"Louis Begley","As Max Saw it","0449909476","Missing",""
"Sandra Lipsitz Bem","The Lenses of Gender","0300061633","Missing",""
"William Benemann","Male-Male Intimacy in Early America","1560233443","Missing",""
"Kevin Bentley","Boyfriends From Hell","1931160147","Missing",""
"Tim Bergling; Joe Phillips (Illustrator)","Sissyphobia","1560239891","Missing",""
"Simon Blackburn","Think","0965025330","Missing",""
"Dr. Iwan Bloch; Keene Wallace (Translator)","Strange Sexual Practises in All Races of the World ","","Missing",""
"Walter O. Bockting; Eli Coleman","Gender Dysphoria","1560244593","Missing",""
"Jason Bonds","Sins of the Fathers","","Missing",""
"Kate Bornstein","Gender Outlaw","0679757015","Missing",""
"Kate Bornstein","Gender Outlaw","9780679757016","Missing",""
"James Brackett","Condom Info Guide","0929240022","Missing",""
"Michael Bronski","A Queer History of the United States","9780807044391","Missing",""
"Angela Brown (Editor)","Best Lesbian Love Stories 2005","1555838820","Missing",""
"Dee Brown","The Gentle Tamers","0803250258","Missing",""
"Phyllis Burke","Gender Shock","0385477171","Missing",""
"Augusten Burroughs","You Better Not Cry","031243006X","Missing",""
"Peter Burton","Parallel Lives","0907040659","Missing",""
"Pat Califia","Public Sex","0939416883","Missing",""
"Loren Cameron","Body Alchemy","1573440620","Missing",""
"Honey van Campe","The Drag Queen's Cookbook & Guide to Sensible Living","096531457x","Missing",""
"Rafael Campo","The Desire to Heal","0393317714","Missing",""
"Truman Capote; Reynolds Price","The Complete Stories of Truman Capote","140009691X","Missing",""
"Jacqueline Carey","Saints Astray","9780446571425","Missing",""
"Julie Ann Carver","Case of the Missing Dick","1588840042","Missing",""
"Stephen Chbosky","The Perks of Being a Wallflower","0671027344","Missing",""
"Charles Zan Christensen","Anything That Loves","1938720326","Missing",""
"Charles Zan Christensen; Mark Brill","The Power Within","628586629905","Missing",""
"Chrystos","Not Vanishing","0889740151","Missing",""
"Philip Clark; David Groff","Persistent Voices","1593501536","Missing",""
"D. Merilee Clunis; G. Dorsey Green","Lesbian Couples","0931188598","Missing",""
"Stephanie Cowell","The Players","0393040607","Missing",""
"Michael Craft","Rehearsing (Claire Gray, Book 1)","1879603098","Missing",""
"Kathryn Cristaldi; Abby Carter (Illustrator)","Baseball Ballerina","0679817344","Missing",""
"Paisley Currah; Richard M. Juang; Shannon Price Minter","Transgender Rights","0816643121","Missing",""
"Walt Curtis","Mala Noche","0962368342","Missing",""
"Gina Daggett; Kathy Belge","Lipstick & Dipstick’s Essential Guide to Lesbian Relationships","9781593500221","Missing",""
"James Davidson","The Greeks and Greek Love","9780375505164","Missing",""
"Porter Davis","Sex Perversion and the Law - Vol 2","","Missing",""
"Porter Davis","Sex Perversion and the Law - Vol. 1 ","","Missing",""
