Author,Title,ISBN,Location,Owner
James Aaron,The Gay Trivia Quiz Book,877956383,Storage,Box #40
Leroy Aarons,Prayers for Bobby,006251122X,Storage,Box #39
Sidney Abbott; Barbara Love,Sappho Was a Right-On Woman,812815904,Storage,Box #36
Steve Abbott,Holy Terror,895943832,Storage,Box #01
Steve Abbott,The Lizard Club,936756713,Storage,Box #21
Linsey Abrams,Our History in New York,964129205,Storage,Box #41
Kathy Acker,Literal Madness,802100015,Storage,Box #21
J.R. Ackerly,My Father and Myself,712652515,Storage,Box #42
"Adams, Derek (Author)",The Adventures of Miles Diamond,1-56333-118-7,Storage,Box #17
"Adams, Derek (Author)",Heat Wave,1-56333-159-4,Storage,Box #17
Sara Adamson,The Marketplace,1563330962,Storage,Box #17
Sara Adamson,The Slave,156333173X,Storage,Box #17
Sara Adamson,The Trainer,1563332493,Storage,Box #17
Rhianne Aile; Madeleine Urban,The One That Got Away,1615810854,Storage,Box #01
Will Aitken,Terre Haute,385298722,Storage,Box #01
Edward Albee,All Over,,Storage,Box #40
Edward Albee,Three Tall Women,525939601,Storage,Box #40
Edward Albee,Who's Afraid of Virginia Woolf?,,Storage,Box #40
Sarah Aldridge,All True Lovers,093004410X,Storage,Box #26
Sarah Aldridge,Cytherea's Breath,,Storage,Box #26
Sarah Aldridge,A Flight of Angels,1562800019,Storage,Box #26
Sarah Aldridge,"Keep to Me, Stranger",094148338X,Storage,Box #26
Sarah Aldridge,The Latecomer,930044002,Storage,Box #26
Sarah Aldridge,Madame Aurora,930044444,Storage,Box #26
Sarah Aldridge,Magdalena,930044991,Storage,Box #26
Sarah Aldridge,Michaela,1562800558,Storage,Box #26
Sarah Aldridge,Misfortune’s Friend,930044673,Storage,Box #26
Sarah Aldridge,The Nesting Place,930044266,Storage,Box #26
Sarah Aldridge,Tottie,930044010,Storage,Box #26
Nathan Aldyne,Cobalt,312145152,Storage,Box #01
Nathan Aldyne,Slate,394536975,Storage,Box #01
Nathan Aldyne,Vermilion,380765969,Storage,Box #01
Judith Alguire,All Out,934678162,Storage,Box #26
Judith Alguire,Zeta Base,941483940,Storage,Box #24
Carol Allain (Editor); Rosamund Elwin (Editor),Getting Wet,088961170X,Storage,Box #17
Jeffner Allen (Editor),Lesbian Philosophies and Cultures,791403831,Storage,Box #36
Jeffner Allen,Lesbian Philosophy,934903867,Storage,Box #36
Kate Allen,Tell Me What You Like,934678480,Storage,Box #26
Tamara Allen; Lorraine Brevig,Downtime,9780615301051,Storage,Box #01
Dorothy Allison,Trash,932379524,Storage,Box #26
Lisa Alther,Bedrock,804107815,Storage,Box #26
Lisa Alther,Other Women,394539362,Storage,Box #26
Dennis Altman,Coming Out in the Seventies,909331685,Storage,Box #36
Dennis Altman,The Homosexualization of America,312388888,Storage,Box #36
Dennis Altman; Jeffrey Weeks (Introduction),Homosexual Oppression and Liberation,814706231,Storage,Box #36
Alyson,Alyson Almanac,932870198,Storage,Box #40
Terry Andrews,The Story of Harold,380499657,Storage,Box #21
Phil Andros,Below the Belt & Other Stories,1555832202,Storage,Box #17
Phil Andros,Different Strokes,1555832229,Storage,Box #17
Phil Andros,Greek Ways,1555832237,Storage,Box #17
Phil Andros,"My Brother, My Self",,Storage,Box #17
Phil Andros,Renegade Hustler,,Storage,Box #17
Phil Andros,San Francisco Hustler,,Storage,Box #17
Phil Andros,Shuttlecock,1555832261,Storage,Box #17
Phil Andros; John Preston (Introduction),Stud,932870023,Storage,Box #17
David Andrusia,Frommer’s Gay & Lesbian Europe,28626400,Storage,Box #38
Carol Anshaw,Aquamarine,671795864,Storage,Box #26
Laura Antoniou (Editor),Leatherwomen,1563330954,Storage,Box #17
Laura Antoniou (Editor),Leatherwomen II,1563332299,Storage,Box #17
Reinaldo Arenas; Translated by Andrew Hurley,Farewell to the Sea,140066365,Storage,Box #21
Laura Argiri,The God in Flight,679428313,Storage,Box #01
Richard Armory,"Listen, the Loon Sings",,Storage,Box #17
